
# Surface 0 of 1 surfaces

# IsoCurve 0, 200 points
# x y z type
-0.12521 -12.0201  19.7941 o
-0.12521 -11.8949  19.5607 o
-0.12521 -11.7697  19.3283 o
-0.12521 -11.6445  19.108 o
-0.12521 -11.5193  18.8864 o
-0.12521 -11.3941  18.6784 o
-0.12521 -11.2689  18.4661 o
-0.12521 -11.1436  18.2692 o
-0.12521 -11.0184  18.0665 o
-0.12521 -10.8932  17.8809 o
-0.12521 -10.768  17.6873 o
-0.12521 -10.6428  17.5119 o
-0.12521 -10.5176  17.3262 o
-0.12521 -10.3924  17.1602 o
-0.12521 -10.2672  16.9821 o
-0.12521 -10.142  16.8251 o
-0.12521 -10.0168  16.654 o
-0.12521 -9.89155  16.5056 o
-0.12521 -9.76634  16.3415 o
-0.12521 -9.64114  16.2013 o
-0.12521 -9.51593  16.0436 o
-0.12521 -9.39072  15.9112 o
-0.12521 -9.26551  15.7596 o
-0.12521 -9.1403  15.6345 o
-0.12521 -9.01509  15.4886 o
-0.12521 -8.88988  15.3705 o
-0.12521 -8.76467  15.2301 o
-0.12521 -8.63946  15.1188 o
-0.12521 -8.51425  14.9837 o
-0.12521 -8.38904  14.8791 o
-0.12521 -8.26383  14.7489 o
-0.12521 -8.13862  14.6506 o
-0.12521 -8.01341  14.5254 o
-0.12521 -7.8882  14.4331 o
-0.12521 -7.76299  14.3123 o
-0.12521 -7.63778  14.2256 o
-0.12521 -7.51257  14.1085 o
-0.12521 -7.38736  14.0269 o
-0.12521 -7.26215  13.9139 o
-0.12521 -7.13694  13.8379 o
-0.12521 -7.01173  13.7289 o
-0.12521 -6.88653  13.6581 o
-0.12521 -6.76132  13.553 o
-0.12521 -6.63611  13.4873 o
-0.12521 -6.5109  13.3858 o
-0.12521 -6.38569  13.3251 o
-0.12521 -6.26048  13.2271 o
-0.12521 -6.13527  13.1713 o
-0.12521 -6.01006  13.0768 o
-0.12521 -5.88485  13.0257 o
-0.12521 -5.75964  12.9344 o
-0.12521 -5.63443  12.888 o
-0.12521 -5.50922  12.7999 o
-0.12521 -5.38401  12.7581 o
-0.12521 -5.2588  12.6729 o
-0.12521 -5.13359  12.6355 o
-0.12521 -5.00838  12.5534 o
-0.12521 -4.88317  12.5206 o
-0.12521 -4.75796  12.4414 o
-0.12521 -4.63275  12.4131 o
-0.12521 -4.50754  12.337 o
-0.12521 -4.38233  12.3134 o
-0.12521 -4.25712  12.2403 o
-0.12521 -4.13192  12.2214 o
-0.12521 -4.00671  12.151 o
-0.12521 -3.8815  12.1365 o
-0.12521 -3.75629  12.0692 o
-0.12521 -3.63108  12.0597 o
-0.12521 -3.50587  11.9954 o
-0.12521 -3.38066  11.9908 o
-0.12521 -3.25545  11.9296 o
-0.12521 -3.13024  11.9302 o
-0.12521 -3.00503  11.8723 o
-0.12521 -2.87982  11.8783 o
-0.12521 -2.75461  11.8237 o
-0.12521 -2.6294  11.8354 o
-0.12521 -2.50419  11.7845 o
-0.12521 -2.37898  11.8023 o
-0.12521 -2.25377  11.7554 o
-0.12521 -2.12856  11.7799 o
-0.12521 -2.00335  11.7374 o
-0.12521 -1.87814  11.7693 o
-0.12521 -1.75293  11.7319 o
-0.12521 -1.62772  11.7721 o
-0.12521 -1.50251  11.7405 o
-0.12521 -1.37731  11.7903 o
-0.12521 -1.2521  11.7657 o
-0.12521 -1.12689  11.8268 o
-0.12521 -1.00168  11.811 o
-0.12521 -0.876467  11.886 o
-0.12521 -0.751257  11.8816 o
-0.12521 -0.626048  11.9746 o
-0.12521 -0.500838  11.987 o
-0.12521 -0.375629  12.1068 o
-0.12521 -0.250419  12.1483 o
-0.12521 -0.12521  12.3181 o
-0.12521  1.17462e-13  12.4405 o

# IsoCurve 2, 200 points
# x y z type
-0.250419 -24.9167  11.4611 o
-0.250419 -24.7915  16.392 o
-0.250419 -24.6663  13.3836 o
-0.250419 -24.5411  16.1571 o
-0.250419 -24.4159  14.1387 o
-0.250419 -24.2907  16.0372 o
-0.250419 -24.1654  14.5466 o
-0.250419 -24.0402  15.9805 o
-0.250419 -23.915  14.8174 o
-0.250419 -23.7898  15.9673 o
-0.250419 -23.6646  15.027 o
-0.250419 -23.5394  15.9876 o
-0.250419 -23.4142  15.2087 o
-0.250419 -23.289  16.0355 o
-0.250419 -23.1638  15.3788 o
-0.250419 -23.0386  16.107 o
-0.250419 -22.9133  15.5465 o
-0.250419 -22.7881  16.1998 o
-0.250419 -22.6629  15.7169 o
-0.250419 -22.5377  16.3119 o
-0.250419 -22.4125  15.8933 o
-0.250419 -22.2873  16.4422 o
-0.250419 -22.1621  16.078 o
-0.250419 -22.0369  16.59 o
-0.250419 -21.9117  16.2726 o
-0.250419 -21.7865  16.7547 o
-0.250419 -21.6613  16.4782 o
-0.250419 -21.536  16.936 o
-0.250419 -21.4108  16.6958 o
-0.250419 -21.2856  17.1339 o
-0.250419 -21.1604  16.9262 o
-0.250419 -21.0352  17.3483 o
-0.250419 -20.91  17.1703 o
-0.250419 -20.7848  17.5794 o
-0.250419 -20.6596  17.4288 o
-0.250419 -20.5344  17.8277 o
-0.250419 -20.4092  17.7026 o
-0.250419 -20.2839  18.0936 o
-0.250419 -20.1587  17.9924 o
-0.250419 -20.0335  18.377 o
-0.250419 -19.9083  18.2985 o
-0.250419 -19.7831  18.6789 o
-0.250419 -19.6579  18.6224 o
-0.250419 -19.5327  19.0004 o
-0.250419 -19.4075  18.9653 o
-0.250419 -19.2823  19.342 o
-0.250419 -19.1571  19.3274 o
-0.250419 -19.0319  19.7046 o
-0.250419 -18.9066  19.7108 o
-0.250419 -18.7814  20.0901 o
-0.250419 -18.6562  20.1169 o
-0.250419 -18.531  20.4994 o
-0.250419 -18.4058  20.5469 o
-0.250419 -18.2806  20.9335 o
-0.250419 -18.1554  21.0014 o
-0.250419 -18.0302  21.3936 o
-0.250419 -17.905  21.4824 o
-0.250419 -17.7798  21.881 o
-0.250419 -17.6545  21.9907 o
-0.250419 -17.5293  22.3963 o
-0.250419 -17.4041  22.527 o
-0.250419 -17.2789  22.941 o
-0.250419 -17.1537  23.0935 o
-0.250419 -17.0285  23.5163 o
-0.250419 -16.9033  23.6897 o
-0.250419 -16.7781  24.1206 o
-0.250419 -16.6529  24.3142 o
-0.250419 -16.5277  24.7531 o
-0.250419 -16.4025  24.9657 o
-0.250419 -16.2772  25.4063 o
-0.250419 -16.152  25.6239 o
-0.250419 -16.0268  26.0489 o
-0.250419 -15.9016  26.2416 o
-0.250419 -15.7764  26.5982 o
-0.250419 -15.6512  26.717 o
-0.250419 -15.526  26.9516 o
-0.250419 -15.4008  26.9323 o
-0.250419 -15.2756  27.019 o
-0.250419 -15.1504  26.8903 o
-0.250419 -15.0251  26.8523 o
-0.250419 -14.8999  26.6043 o
-0.250419 -14.7747  26.4313 o
-0.250419 -14.6495  26.0826 o
-0.250419 -14.5243  25.8118 o
-0.250419 -14.3991  25.3994 o
-0.250419 -14.2739  25.0854 o
-0.250419 -14.1487  24.6783 o
-0.250419 -14.0235  24.3613 o
-0.250419 -13.8983  23.9712 o
-0.250419 -13.7731  23.6583 o
-0.250419 -13.6478  23.2879 o
-0.250419 -13.5226  22.9817 o
-0.250419 -13.3974  22.633 o
-0.250419 -13.2722  22.3362 o
-0.250419 -13.147  22.0106 o
-0.250419 -13.0218  21.724 o
-0.250419 -12.8966  21.4211 o
-0.250419 -12.7714  21.1452 o
-0.250419 -12.6462  20.8631 o
-0.250419 -12.521  20.5959 o
-0.250419 -12.3957  20.3333 o
-0.250419 -12.2705  20.0748 o
-0.250419 -12.1453  19.8308 o
-0.250419 -12.0201  19.5806 o
-0.250419 -11.8949  19.3545 o
-0.250419 -11.7697  19.112 o
-0.250419 -11.6445  18.9027 o
-0.250419 -11.5193  18.6678 o
-0.250419 -11.3941  18.4741 o
-0.250419 -11.2689  18.2446 o
-0.250419 -11.1436  18.0655 o
-0.250419 -11.0184  17.8425 o
-0.250419 -10.8932  17.6781 o
-0.250419 -10.768  17.4609 o
-0.250419 -10.6428  17.31 o
-0.250419 -10.5176  17.0976 o
-0.250419 -10.3924  16.9594 o
-0.250419 -10.2672  16.7514 o
-0.250419 -10.142  16.6252 o
-0.250419 -10.0168  16.4211 o
-0.250419 -9.89155  16.3066 o
-0.250419 -9.76634  16.1064 o
-0.250419 -9.64114  16.0033 o
-0.250419 -9.51593  15.8064 o
-0.250419 -9.39072  15.7142 o
-0.250419 -9.26551  15.5202 o
-0.250419 -9.1403  15.4385 o
-0.250419 -9.01509  15.2468 o
-0.250419 -8.88988  15.1755 o
-0.250419 -8.76467  14.9859 o
-0.250419 -8.63946  14.9247 o
-0.250419 -8.51425  14.737 o
-0.250419 -8.38904  14.6859 o
-0.250419 -8.26383  14.4996 o
-0.250419 -8.13862  14.4583 o
-0.250419 -8.01341  14.2733 o
-0.250419 -7.8882  14.2418 o
-0.250419 -7.76299  14.0573 o
-0.250419 -7.63778  14.0353 o
-0.250419 -7.51257  13.8502 o
-0.250419 -7.38736  13.8371 o
-0.250419 -7.26215  13.6519 o
-0.250419 -7.13694  13.6486 o
-0.250419 -7.01173  13.4629 o
-0.250419 -6.88653  13.4694 o
-0.250419 -6.76132  13.2828 o
-0.250419 -6.63611  13.2992 o
-0.250419 -6.5109  13.111 o
-0.250419 -6.38569  13.1376 o
-0.250419 -6.26048  12.9474 o
-0.250419 -6.13527  12.9843 o
-0.250419 -6.01006  12.7916 o
-0.250419 -5.88485  12.8392 o
-0.250419 -5.75964  12.6432 o
-0.250419 -5.63443  12.7019 o
-0.250419 -5.50922  12.502 o
-0.250419 -5.38401  12.5724 o
-0.250419 -5.2588  12.3676 o
-0.250419 -5.13359  12.4501 o
-0.250419 -5.00838  12.2398 o
-0.250419 -4.88317  12.3354 o
-0.250419 -4.75796  12.1186 o
-0.250419 -4.63275  12.2281 o
-0.250419 -4.50754  12.0038 o
-0.250419 -4.38233  12.1285 o
-0.250419 -4.25712  11.8955 o
-0.250419 -4.13192  12.0366 o
-0.250419 -4.00671  11.793 o
-0.250419 -3.8815  11.9517 o
-0.250419 -3.75629  11.6961 o
-0.250419 -3.63108  11.8748 o
-0.250419 -3.50587  11.6049 o
-0.250419 -3.38066  11.8058 o
-0.250419 -3.25545  11.519 o
-0.250419 -3.13024  11.745 o
-0.250419 -3.00503  11.4383 o
-0.250419 -2.87982  11.6929 o
-0.250419 -2.75461  11.3619 o
-0.250419 -2.6294  11.6496 o
-0.250419 -2.50419  11.2895 o
-0.250419 -2.37898  11.6162 o
-0.250419 -2.25377  11.2203 o
-0.250419 -2.12856  11.5935 o
-0.250419 -2.00335  11.1528 o
-0.250419 -1.87814  11.5826 o
-0.250419 -1.75293  11.085 o
-0.250419 -1.62772  11.5852 o
-0.250419 -1.50251  11.013 o
-0.250419 -1.37731  11.6034 o
-0.250419 -1.2521  10.9305 o
-0.250419 -1.12689  11.6402 o
-0.250419 -1.00168  10.8254 o
-0.250419 -0.876467  11.7003 o
-0.250419 -0.751257  10.6727 o
-0.250419 -0.626048  11.7906 o
-0.250419 -0.500838  10.416 o
-0.250419 -0.375629  11.9269 o
-0.250419 -0.250419  9.89915 o
-0.250419 -0.12521  12.1483 o
-0.250419  1.17462e-13  8.51038 o

# IsoCurve 3, 200 points
# x y z type
-0.375629 -24.9167  16.5232 o
-0.375629 -24.7915  16.3683 o
-0.375629 -24.6663  16.1572 o
-0.375629 -24.5411  16.1227 o
-0.375629 -24.4159  15.9861 o
-0.375629 -24.2907  15.9959 o
-0.375629 -24.1654  15.8991 o
-0.375629 -24.0402  15.9348 o
-0.375629 -23.915  15.865 o
-0.375629 -23.7898  15.9189 o
-0.375629 -23.6646  15.8698 o
-0.375629 -23.5394  15.9376 o
-0.375629 -23.4142  15.9054 o
-0.375629 -23.289  15.9847 o
-0.375629 -23.1638  15.967 o
-0.375629 -23.0386  16.0561 o
-0.375629 -22.9133  16.0512 o
-0.375629 -22.7881  16.1492 o
-0.375629 -22.6629  16.1559 o
-0.375629 -22.5377  16.2621 o
-0.375629 -22.4125  16.2797 o
-0.375629 -22.2873  16.3935 o
-0.375629 -22.1621  16.4214 o
-0.375629 -22.0369  16.5427 o
-0.375629 -21.9117  16.5806 o
-0.375629 -21.7865  16.7091 o
-0.375629 -21.6613  16.7567 o
-0.375629 -21.536  16.8924 o
-0.375629 -21.4108  16.9495 o
-0.375629 -21.2856  17.0926 o
-0.375629 -21.1604  17.1591 o
-0.375629 -21.0352  17.3095 o
-0.375629 -20.91  17.3856 o
-0.375629 -20.7848  17.5436 o
-0.375629 -20.6596  17.6293 o
-0.375629 -20.5344  17.7951 o
-0.375629 -20.4092  17.8907 o
-0.375629 -20.2839  18.0646 o
-0.375629 -20.1587  18.1702 o
-0.375629 -20.0335  18.3519 o
-0.375629 -19.9083  18.4674 o
-0.375629 -19.7831  18.658 o
-0.375629 -19.6579  18.7843 o
-0.375629 -19.5327  18.9842 o
-0.375629 -19.4075  19.1218 o
-0.375629 -19.2823  19.3309 o
-0.375629 -19.1571  19.4796 o
-0.375629 -19.0319  19.6989 o
-0.375629 -18.9066  19.86 o
-0.375629 -18.7814  20.0904 o
-0.375629 -18.6562  20.2645 o
-0.375629 -18.531  20.5065 o
-0.375629 -18.4058  20.6941 o
-0.375629 -18.2806  20.948 o
-0.375629 -18.1554  21.1493 o
-0.375629 -18.0302  21.4161 o
-0.375629 -17.905  21.6323 o
-0.375629 -17.7798  21.9124 o
-0.375629 -17.6545  22.1437 o
-0.375629 -17.5293  22.4373 o
-0.375629 -17.4041  22.6843 o
-0.375629 -17.2789  22.9927 o
-0.375629 -17.1537  23.2564 o
-0.375629 -17.0285  23.5796 o
-0.375629 -16.9033  23.8595 o
-0.375629 -16.7781  24.1969 o
-0.375629 -16.6529  24.4924 o
-0.375629 -16.5277  24.8435 o
-0.375629 -16.4025  25.1535 o
-0.375629 -16.2772  25.5119 o
-0.375629 -16.152  25.8221 o
-0.375629 -16.0268  26.1702 o
-0.375629 -15.9016  26.4501 o
-0.375629 -15.7764  26.7341 o
-0.375629 -15.6512  26.9332 o
-0.375629 -15.526  27.0985 o
-0.375629 -15.4008  27.1503 o
-0.375629 -15.2756  27.1711 o
-0.375629 -15.1504  27.1042 o
-0.375629 -15.0251  27.0045 o
-0.375629 -14.8999  26.8085 o
-0.375629 -14.7747  26.5777 o
-0.375629 -14.6495  26.2714 o
-0.375629 -14.5243  25.9477 o
-0.375629 -14.3991  25.5691 o
-0.375629 -14.2739  25.2084 o
-0.375629 -14.1487  24.8287 o
-0.375629 -14.0235  24.4718 o
-0.375629 -13.8983  24.1035 o
-0.375629 -13.7731  23.7572 o
-0.375629 -13.6478  23.4034 o
-0.375629 -13.5226  23.0698 o
-0.375629 -13.3974  22.7332 o
-0.375629 -13.2722  22.415 o
-0.375629 -13.147  22.0969 o
-0.375629 -13.0218  21.7938 o
-0.375629 -12.8966  21.4942 o
-0.375629 -12.7714  21.2071 o
-0.375629 -12.6462  20.9246 o
-0.375629 -12.521  20.6509 o
-0.375629 -12.3957  20.384 o
